asset_id,relative_path,split,annotation_status,review_required,review_reason
e9373d54bb6fc661,data/submissions/2026-06-21_memu_hand_screenshots/raw/1.png,train,MISSING,false,not_selected
c8be7f9d655cdc4c,data/submissions/2026-06-21_memu_hand_screenshots/raw/10.png,train,MISSING,false,not_selected
11bb84d493754d19,data/submissions/2026-06-21_memu_hand_screenshots/raw/11.png,train,MISSING,false,not_selected
e9a1041ba8ffa32b,data/submissions/2026-06-21_memu_hand_screenshots/raw/12.png,train,MISSING,true,deterministic_20_percent_train
27bdb2339a3b9867,data/submissions/2026-06-21_memu_hand_screenshots/raw/13.png,train,MISSING,true,deterministic_20_percent_train
068be22011cdb87e,data/submissions/2026-06-21_memu_hand_screenshots/raw/14.png,train,MISSING,false,not_selected
56298f732165c897,data/submissions/2026-06-21_memu_hand_screenshots/raw/15.png,train,MISSING,false,not_selected
2f418f6007410be0,data/submissions/2026-06-21_memu_hand_screenshots/raw/16.png,train,MISSING,false,not_selected
3d45160ab5e6804f,data/submissions/2026-06-21_memu_hand_screenshots/raw/17.png,train,MISSING,false,not_selected
7ba4a6d0688601fd,data/submissions/2026-06-21_memu_hand_screenshots/raw/18.png,train,MISSING,false,not_selected
a7c22bbb8520a6ba,data/submissions/2026-06-21_memu_hand_screenshots/raw/19.png,train,MISSING,false,not_selected
7a4e6a525f6af75e,data/submissions/2026-06-21_memu_hand_screenshots/raw/2.png,train,MISSING,false,not_selected
2cbb8d1f11e257c2,data/submissions/2026-06-21_memu_hand_screenshots/raw/20.png,train,MISSING,false,not_selected
43699c027e964885,data/submissions/2026-06-21_memu_hand_screenshots/raw/21 (2).png,train,MISSING,true,deterministic_20_percent_train
0b3e47539609026b,data/submissions/2026-06-21_memu_hand_screenshots/raw/22.png,train,MISSING,true,deterministic_20_percent_train
414459be6c622441,data/submissions/2026-06-21_memu_hand_screenshots/raw/23.png,train,MISSING,false,not_selected
62ff38bf0094fba1,data/submissions/2026-06-21_memu_hand_screenshots/raw/24.png,train,MISSING,true,deterministic_20_percent_train
34847da45c415f30,data/submissions/2026-06-21_memu_hand_screenshots/raw/3.png,train,MISSING,false,not_selected
7b9c84099b522d99,data/submissions/2026-06-21_memu_hand_screenshots/raw/4.png,train,MISSING,true,deterministic_20_percent_train
b72f38a82d7d6f20,data/submissions/2026-06-21_memu_hand_screenshots/raw/5.png,train,MISSING,false,not_selected
2410894e18aa262b,data/submissions/2026-06-21_memu_hand_screenshots/raw/50.png,train,MISSING,false,not_selected
c20643126ec6cec2,data/submissions/2026-06-21_memu_hand_screenshots/raw/52.png,train,MISSING,false,not_selected
341fe59d1ed49e55,data/submissions/2026-06-21_memu_hand_screenshots/raw/53.png,train,MISSING,false,not_selected
ead9818f49d0e629,data/submissions/2026-06-21_memu_hand_screenshots/raw/54.png,train,MISSING,false,not_selected
faa1c5799a51ed17,data/submissions/2026-06-21_memu_hand_screenshots/raw/55.png,train,MISSING,false,not_selected
c1b841ea7517e855,data/submissions/2026-06-21_memu_hand_screenshots/raw/56.png,train,MISSING,false,not_selected
b785fce3aa01f8ae,data/submissions/2026-06-21_memu_hand_screenshots/raw/6.png,train,MISSING,false,not_selected
943eb1a586d8d615,data/submissions/2026-06-21_memu_hand_screenshots/raw/7.png,train,MISSING,true,deterministic_20_percent_train
b7d22b248c627667,data/submissions/2026-06-21_memu_hand_screenshots/raw/8.png,train,MISSING,true,deterministic_20_percent_train
dd7e449a48f729d2,data/submissions/2026-06-21_memu_hand_screenshots/raw/9.png,train,MISSING,false,not_selected
7dcdf0df7e27b7a4,data/submissions/2026-07-13_live_vm203_gameplay/raw/live_after_play.png,train,MISSING,false,not_selected
3a417b6f4b7b8a97,data/submissions/2026-07-13_live_vm203_gameplay/raw/live_current.png,train,MISSING,false,not_selected
e708a191ae8f718f,data/submissions/2026-07-13_live_vm203_gameplay/raw/live_selected.png,train,MISSING,false,not_selected
e1d306087038f850,data/submissions/2026-07-13_live_vm203_gameplay_round2/raw/live_after_second_play.png,train,MISSING,false,not_selected
44e89508895fd73b,data/submissions/2026-07-13_live_vm203_gameplay_round2/raw/live_fresh.png,train,MISSING,false,not_selected
c456eb37d04a968b,data/submissions/2026-07-13_live_vm203_gameplay_round2/raw/live_second_selected.png,train,MISSING,false,not_selected
